security_code,company_name,active
7450,株式会社サンデー,true
5577,株式会社アイデミー,true
5585,エコナビスタ株式会社,true
4173,株式会社ＷＡＣＵＬ,true
3094,株式会社スーパーバリュー,true
601A,ラックス建設株式会社,true
4171,株式会社グローバルインフォメーション,true
7317,株式会社松屋アールアンドディ,true
3136,株式会社エコノス,true
3847,パシフィックシステム株式会社,true
5481,山陽特殊製鋼株式会社,true
1712,株式会社ダイセキ環境ソリューション,true
5191,住友理工株式会社,true
6416,桂川電機株式会社,true
8886,株式会社ウッドフレンズ,true
8283,株式会社ＰＡＬＴＡＣ,true
4690,日本パレットプール株式会社,true
3347,株式会社トラスト,true
7379,株式会社サーキュレーション,true
3294,株式会社イーグランド,true
1776,三井住建道路株式会社,true
6734,株式会社ニューテック,true
5352,黒崎播磨株式会社,true
3681,株式会社ブイキューブ,true
9696,株式会社ウィザス,true
7451,三菱食品株式会社,true
5596,アウトルックコンサルティング株式会社,true
9338,株式会社ＩＮＦＯＲＩＣＨ,true
1884,日本道路株式会社,true
4834,キャリアバンク株式会社,true
9852,ＣＢグループマネジメント株式会社,true
4974,タカラバイオ株式会社,true
7605,株式会社フジ・コーポレーション,true
4384,ラクスル株式会社,true
6957,株式会社芝浦電子,true
9787,イオンディライト株式会社,true
7739,キヤノン電子株式会社,true
2162,ｎｍｓホールディングス株式会社,true
3593,株式会社ホギメディカル,true
6542,株式会社ＦＣホールディングス,true
9600,株式会社アイネット,true
9613,株式会社ＮＴＴデータグループ,true
3655,株式会社ブレインパッド,true
6297,鉱研工業株式会社,true
7999,ＭＵＴＯＨホールディングス株式会社,true
6028,テクノプロ・ホールディングス株式会社,true
7923,トーイン株式会社,true
3540,株式会社歯愛メディカル,true
6406,フジテック株式会社,true
1726,株式会社ビーアールホールディングス,true
7732,株式会社トプコン,true
3073,株式会社ＤＤグループ,true
7238,曙ブレーキ工業株式会社,true
3541,株式会社農業総合研究所,true
5017,富士石油株式会社,true
4556,株式会社カイノス,true
3341,日本調剤株式会社,true
6670,株式会社MCJ,true
9927,株式会社ワットマン,true
6993,大黒屋ホールディングス株式会社,true
7922,三光産業株式会社,true
4917,株式会社マンダム,true
9287,ジャパン・インフラファンド投資法人,true
2150,株式会社ケアネット,true
3526,芦森工業株式会社,true
3961,シルバーエッグ・テクノロジー株式会社,true
5250,プライム・ストラテジー株式会社,true
2692,伊藤忠食品株式会社,true
6095,メドピア株式会社,true
6411,中野冷機株式会社,true
2180,株式会社サニーサイドアップグループ,true
1890,東洋建設株式会社,true
3905,データセクション株式会社,true
2389,株式会社デジタルホールディングス,true
9066,株式会社日新,true
9386,日本コンセプト株式会社,true
7958,天馬株式会社,true
1929,日特建設株式会社,true
9160,株式会社オンザページ,true
9067,株式会社丸運,true
6901,澤藤電機株式会社,true
7635,杉田エース株式会社,true
8836,株式会社ＲＩＳＥ,true
176A,レジル株式会社,true
1743,コーアツ工業株式会社,true
4464,株式会社ソフト９９コーポレーション,true
3688,株式会社CARTA HOLDINGS,true
7250,太平洋工業株式会社,true
6973,協栄産業株式会社,true
5010,日本精蝋株式会社,true
6050,イー・ガーディアン株式会社,true
7490,日新商事株式会社,true
